No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse,InChI,InChIKey
288,Toluene,18000000000,10.25527251,6933-23-9,CC1=CC=CC=C1,3–4,,https://doi.org/10.1021/jp004630z,cyclo,Aromatic & PAHs,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",YXFVVABEGXRONW-UHFFFAOYSA-N
289,Benzoic acid,18000000000,10.25527251,65-85-0,O=C(O)c1ccccc1,3–4,,https://doi.org/10.1021/jp004630z,benzene,Aromatic & PAHs,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",WPYMKLBDIGXBTP-UHFFFAOYSA-N
290,Benzoic acid,13500000000,10.13033377,65-85-0,O=C(O)c1ccccc1,7,,https://doi.org/10.1021/acs.est.9b02462,benzene,Aromatic & PAHs,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",WPYMKLBDIGXBTP-UHFFFAOYSA-N
291,Chlorobenzene,18000000000,10.25527251,12082-03-0,C1=CC=C(C=C1)Cl,3–4,,https://doi.org/10.1021/jp004630z,halogenated,Halogenated organics,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,MVPPADPHJFYWMZ-UHFFFAOYSA-N
292,Nitrobenzene,10100000000,10.00432137,89059-37-0,C1=CC=C(C=C1)[N+](=O)[O-],7,,https://doi.org/10.1021/acs.est.0c05596,halogenated,Halogenated organics,InChI=1S/C6H5NO2/c8-7(9)6-4-2-1-3-5-6/h1-5H,LQNUZADURLCDLV-UHFFFAOYSA-N
293,"TMB (1,3,5-Trimethoxybenzene)",13300000000,10.12385164,621-23-8,COc1cc(OC)cc(OC)c1,3,,https://doi.org/10.1021/acs.est.9b02462,alcohol,Oxygenated organics,"InChI=1S/C9H12O3/c1-10-7-4-8(11-2)6-9(5-7)12-3/h4-6H,1-3H3",LKUDPHPHKOZXCD-UHFFFAOYSA-N
294,"TMB (1,3,5-Trimethoxybenzene)",8300000000,9.919078092,621-23-8,COc1cc(OC)cc(OC)c1,3,,https://doi.org/10.1021/acs.est.9b02462,alcohol,Oxygenated organics,"InChI=1S/C9H12O3/c1-10-7-4-8(11-2)6-9(5-7)12-3/h4-6H,1-3H3",LKUDPHPHKOZXCD-UHFFFAOYSA-N
295,3-Methylbenzoate,1640000000,9.214843848,99-04-7,Cc1cccc(C(=O)O)c1,7.2,,https://doi.org/10.1021/acs.est.8b06896,cyclo,Aromatic & PAHs,"InChI=1S/C8H8O2/c1-6-3-2-4-7(5-6)8(9)10/h2-5H,1H3,(H,9,10)",GPSDUZXPYCFOSQ-UHFFFAOYSA-N
296,4-Fluorobenzoate,792000000,8.898725182,456-22-4,O=C(O)c1ccc(F)cc1,7.2,,https://doi.org/10.1021/acs.est.8b06896,benzene,Aromatic & PAHs,"InChI=1S/C7H5FO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,(H,9,10)",BBYDXOIZLAWGSL-UHFFFAOYSA-N
297,2-Chlorobenzoate,600000000,8.77815125,16887-75-5,O=C([O-])c1ccccc1Cl,7.2,,https://doi.org/10.1021/acs.est.8b06896,benzene,Aromatic & PAHs,"InChI=1S/C7H5ClO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,(H,9,10)/p-1",IKCLCGXPQILATA-UHFFFAOYSA-M
298,2-Iodobenzoate,385000000,8.58546073,16887-77-7,O=C([O-])c1ccccc1I,7.2,,https://doi.org/10.1021/acs.est.8b06896,benzene,Aromatic & PAHs,"InChI=1S/C7H5IO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,(H,9,10)/p-1",CJNZAXGUTKBIHP-UHFFFAOYSA-M
